Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,10740.000000,10875.000000,10555.000000,10767.099609,10503.420898,6382
2014-04-02,10800.500000,10879.000000,10570.000000,10641.700195,10381.092773,8572
2014-04-03,10765.000000,10785.500000,10600.000000,10619.500000,10359.435547,3069
2014-04-04,10632.400391,10700.000000,10110.200195,10226.799805,9976.351563,8377
2014-04-07,10325.000000,10443.000000,10250.200195,10368.500000,10114.583008,4529
2014-04-09,10260.000000,10500.000000,10220.000000,10365.700195,10111.851563,7074
2014-04-10,10365.700195,10484.200195,10202.000000,10270.200195,10018.689453,14021
2014-04-11,10297.900391,10345.000000,10200.000000,10244.700195,9993.813477,3380
2014-04-15,10166.799805,10400.000000,10150.000000,10224.299805,9973.914063,3108
2014-04-16,10235.000000,10500.099609,10052.000000,10321.900391,10069.122070,6176
2014-04-17,10422.000000,10545.000000,10200.000000,10313.500000,10060.928711,14674
2014-04-21,10215.500000,10400.000000,10101.000000,10212.200195,9962.109375,9269
2014-04-22,10297.000000,10450.000000,10210.000000,10345.500000,10092.144531,4358
2014-04-23,10350.000000,10500.000000,10290.799805,10402.400391,10147.652344,2609
2014-04-24,10402.400391,10402.400391,10402.400391,10402.400391,10147.652344,0
2014-04-25,10400.000000,10759.000000,10290.000000,10714.000000,10451.620117,10490
2014-04-28,10800.000000,11030.000000,10425.000000,10555.900391,10297.392578,9723
2014-04-29,10650.000000,10670.000000,10491.099609,10544.900391,10286.663086,2480
2014-04-30,10550.000000,10740.000000,10380.000000,10537.299805,10279.248047,2718
2014-05-02,10669.500000,10669.500000,10390.000000,10466.200195,10209.890625,7613
2014-05-05,10360.000000,10558.200195,10300.000000,10477.700195,10221.108398,2606
2014-05-06,10499.700195,10624.700195,10471.500000,10495.500000,10238.470703,2995
2014-05-07,10451.000000,10573.000000,10451.000000,10491.200195,10234.278320,8867
2014-05-08,10405.000000,10539.000000,10405.000000,10446.200195,10190.378906,3067
2014-05-09,10468.099609,10780.000000,10468.099609,10705.700195,10443.524414,8880
2014-05-12,10755.000000,10825.000000,10500.000000,10592.200195,10386.163086,6664
2014-05-13,10592.200195,10797.700195,10592.200195,10748.200195,10539.127930,5411
2014-05-14,10775.000000,10960.500000,10700.000000,10748.000000,10538.931641,5274
2014-05-15,10930.599609,10930.599609,10700.000000,10754.000000,10544.814453,10805
2014-05-16,10900.000000,10970.000000,10600.000000,10648.500000,10441.367188,5400
2014-05-19,10750.000000,11000.000000,10660.000000,10979.000000,10765.439453,8259
2014-05-20,11000.000000,11499.000000,10900.000000,11369.500000,11148.343750,12110
2014-05-21,11412.000000,11750.000000,11401.200195,11503.700195,11279.932617,9334
2014-05-22,11788.000000,12400.000000,11555.200195,12320.599609,12080.941406,28130
2014-05-23,12699.000000,12940.000000,12502.200195,12848.400391,12598.475586,13896
2014-05-26,12900.400391,13330.000000,12011.099609,12445.400391,12203.314453,11752
2014-05-27,12452.000000,12620.000000,11890.000000,12146.700195,11910.425781,6568
2014-05-28,12360.000000,12500.000000,12000.000000,12346.500000,12106.338867,14764
2014-05-29,12223.000000,12500.000000,12021.000000,12420.200195,12178.604492,13666
2014-05-30,12500.000000,12700.000000,12100.000000,12355.200195,12114.869141,10431
2014-06-02,12475.000000,12599.700195,12200.000000,12261.799805,12023.285156,13535
2014-06-03,12300.000000,12440.000000,12200.000000,12235.000000,11997.007813,3410
2014-06-04,12300.000000,12349.900391,12004.000000,12054.700195,11820.214844,4348
2014-06-05,12200.000000,12200.000000,11990.000000,12038.000000,11803.838867,4785
2014-06-06,12090.000000,12196.400391,11801.000000,11917.299805,11685.487305,6775
2014-06-09,12140.000000,12140.000000,11902.000000,11969.700195,11736.867188,13336
2014-06-10,11935.000000,12100.000000,11720.000000,11767.599609,11538.697266,8434
2014-06-11,11710.000000,12000.000000,11710.000000,11977.099609,11744.124023,6248
2014-06-12,11999.799805,12149.500000,11801.000000,11850.000000,11619.495117,8669
2014-06-13,11806.500000,11970.000000,11750.000000,11840.200195,11609.885742,4778
2014-06-16,11810.000000,11918.000000,11754.000000,11854.000000,11623.418945,2871
2014-06-17,11778.000000,12017.000000,11765.299805,11926.400391,11694.411133,27373
2014-06-18,11900.000000,12240.000000,11900.000000,12191.200195,11954.058594,9159
2014-06-19,12250.000000,12250.000000,11921.000000,11960.599609,11727.944336,4723
2014-06-20,11960.200195,12320.000000,11790.000000,11826.900391,11596.845703,5113
2014-06-23,11900.000000,11947.000000,11766.599609,11837.200195,11606.945313,2556
2014-06-24,11840.000000,12040.000000,11840.000000,11997.000000,11763.635742,12294
2014-06-25,12009.200195,12210.000000,11900.000000,11970.000000,11737.161133,4099
2014-06-26,11901.000000,13100.000000,11901.000000,12826.799805,12577.293945,27789
2014-06-27,12970.000000,13075.000000,12830.000000,13000.700195,12747.812500,14623
