Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,17925.000000,18035.900391,17665.300781,17985.900391,17985.900391,20578
2019-05-03,18099.199219,18099.199219,17874.199219,18023.400391,18023.400391,6131
2019-05-06,17960.000000,18066.000000,17920.400391,18020.800781,18020.800781,6476
2019-05-07,18022.000000,18073.900391,17572.800781,17784.699219,17784.699219,25690
2019-05-08,17701.199219,17830.000000,17017.599609,17328.800781,17328.800781,22326
2019-05-09,17292.800781,17299.900391,17002.000000,17160.800781,17160.800781,12275
2019-05-10,17162.000000,17351.300781,17113.800781,17244.300781,17244.300781,11292
2019-05-13,17250.000000,17482.699219,17042.199219,17200.199219,17200.199219,15378
2019-05-14,17100.099609,17185.900391,16629.599609,16791.599609,16791.599609,16433
2019-05-15,16899.000000,17100.000000,16818.300781,17004.800781,17004.800781,14937
2019-05-16,17019.800781,17150.800781,16857.099609,16967.800781,16967.800781,8071
2019-05-17,16970.000000,17389.900391,16970.000000,17230.800781,17230.800781,11099
2019-05-20,17550.000000,17713.000000,17181.099609,17621.800781,17621.800781,10948
2019-05-21,17622.000000,17683.099609,16950.000000,17410.699219,17410.699219,56544
2019-05-22,17300.099609,17373.900391,16750.000000,16809.300781,16809.300781,31915
2019-05-23,17100.000000,17100.000000,16700.000000,16785.800781,16785.800781,32061
2019-05-24,16954.000000,17040.000000,16764.300781,16972.500000,16972.500000,15106
2019-05-27,17005.000000,17249.000000,16850.099609,16924.800781,16924.800781,12614
2019-05-28,16970.000000,17089.900391,16863.300781,16926.199219,16926.199219,39129
2019-05-29,17050.000000,17067.400391,16926.400391,17017.699219,17017.699219,6240
2019-05-30,17025.000000,17480.000000,16976.000000,17213.199219,17213.199219,19995
2019-05-31,17213.199219,17800.000000,17204.099609,17722.800781,17722.800781,26187
